pcode_district,provisional_licences_male,provisional_licences_female,provisional_total,full_licences_male,full_licences_female,full_total,file_date
LE13,1093,1392,2485,9907,8574,18481,2018-06-01
LE14,419,504,923,7350,6959,14309,2018-06-01
LE15,1002,1354,2356,12828,12098,24926,2018-06-01
LE16,1231,1428,2659,13889,13051,26940,2018-06-01
LE17,551,709,1260,8957,8138,17095,2018-06-01
LE18,1395,1837,3232,11739,10160,21899,2018-06-01
LE19,447,592,1039,5753,5386,11139,2018-06-01
LE62,0,1,1,0,0,0,2018-06-01
LE65,511,628,1139,6010,5488,11498,2018-06-01
LE67,2229,2872,5101,23024,20056,43080,2018-06-01
LL01,2,1,3,13,8,21,2018-06-01
LL02,0,0,0,3,0,3,2018-06-01
LL10,0,0,0,1,0,1,2018-06-01
LL11,1874,2422,4296,13253,11162,24415,2018-06-01
LL12,1223,1361,2584,10458,9483,19941,2018-06-01
LL13,2297,2571,4868,10843,8805,19648,2018-06-01
LL14,1690,2380,4070,10995,8994,19989,2018-06-01
LL15,366,435,801,4035,3745,7780,2018-06-01
LL16,652,809,1461,5618,5110,10728,2018-06-01
LL17,179,245,424,2165,2039,4204,2018-06-01
LL18,2505,3247,5752,13848,11657,25505,2018-06-01
LL19,982,1268,2250,7060,6316,13376,2018-06-01
LL20,363,376,739,3172,2722,5894,2018-06-01
LL21,206,264,470,2594,2320,4914,2018-06-01
LL22,691,876,1567,6930,6136,13066,2018-06-01
LL23,114,143,257,1563,1355,2918,2018-06-01
LL24,58,83,141,864,726,1590,2018-06-01
LL25,20,18,38,181,167,348,2018-06-01
LL26,181,248,429,1613,1396,3009,2018-06-01
LL27,34,50,84,328,274,602,2018-06-01
LL28,502,609,1111,5054,4844,9898,2018-06-01
LL29,1167,1403,2570,6757,5920,12677,2018-06-01
LL30,1076,1332,2408,7340,6428,13768,2018-06-01
LL31,375,522,897,3646,3390,7036,2018-06-01
LL32,299,359,658,2413,2261,4674,2018-06-01
LL33,196,240,436,1388,1228,2616,2018-06-01
LL34,189,286,475,1571,1391,2962,2018-06-01
LL35,20,27,47,296,253,549,2018-06-01
LL36,149,220,369,1653,1449,3102,2018-06-01
LL37,18,22,40,242,194,436,2018-06-01
LL38,14,38,52,271,208,479,2018-06-01
LL39,11,15,26,93,75,168,2018-06-01
LL40,160,187,347,1552,1364,2916,2018-06-01
LL41,315,422,737,2153,1714,3867,2018-06-01
LL42,133,174,307,769,617,1386,2018-06-01
LL43,14,17,31,213,187,400,2018-06-01
LL44,23,40,63,374,361,735,2018-06-01
LL45,28,21,49,235,231,466,2018-06-01
LL46,57,64,121,666,607,1273,2018-06-01
LL47,10,31,41,230,195,425,2018-06-01
LL48,92,136,228,910,802,1712,2018-06-01
LL49,204,217,421,1507,1262,2769,2018-06-01
LL51,26,32,58,344,280,624,2018-06-01
LL52,84,87,171,1016,954,1970,2018-06-01
LL53,490,588,1078,6119,5583,11702,2018-06-01
LL54,403,523,926,4111,3693,7804,2018-06-01
LL55,991,1203,2194,7256,6412,13668,2018-06-01
LL56,107,85,192,813,773,1586,2018-06-01
LL57,1664,1758,3422,7475,6222,13697,2018-06-01
LL58,136,203,339,1395,1290,2685,2018-06-01
LL59,259,260,519,2061,1945,4006,2018-06-01
LL60,106,111,217,1175,1097,2272,2018-06-01
LL61,216,243,459,2289,2186,4475,2018-06-01
LL62,65,47,112,714,661,1375,2018-06-01
LL63,49,64,113,526,459,985,2018-06-01
LL64,33,33,66,326,291,617,2018-06-01
LL65,1233,1497,2730,8253,6984,15237,2018-06-01
LL66,9,11,20,108,92,200,2018-06-01
LL67,49,76,125,505,458,963,2018-06-01
LL68,249,329,578,2302,1986,4288,2018-06-01
LL69,31,33,64,266,220,486,2018-06-01
LL70,11,12,23,122,117,239,2018-06-01
LL71,65,80,145,718,643,1361,2018-06-01
LL72,39,46,85,272,245,517,2018-06-01
LL73,2,2,4,97,91,188,2018-06-01
LL74,75,79,154,975,926,1901,2018-06-01
LL75,55,50,105,555,531,1086,2018-06-01
LL76,8,11,19,120,107,227,2018-06-01
LL77,276,366,642,2532,2337,4869,2018-06-01
LL78,10,14,24,215,202,417,2018-06-01
LN01,1204,1433,2637,9762,8413,18175,2018-06-01
LN02,2095,2513,4608,13096,11350,24446,2018-06-01
LN03,282,324,606,3868,3490,7358,2018-06-01
LN04,1231,1655,2886,15246,13707,28953,2018-06-01
LN05,1846,2038,3884,11320,9298,20618,2018-06-01
LN06,2479,3122,5601,21367,19185,40552,2018-06-01
LN07,209,257,466,2552,2345,4897,2018-06-01
LN08,542,714,1256,7081,6408,13489,2018-06-01
LN09,321,379,700,3828,3447,7275,2018-06-01
LN10,149,166,315,2492,2354,4846,2018-06-01
LN11,1040,1312,2352,10836,10007,20843,2018-06-01
LN12,569,738,1307,4994,3869,8863,2018-06-01
LN13,298,361,659,3186,2870,6056,2018-06-01
LS00,0,1,1,0,0,0,2018-06-01
LS01,270,261,531,858,486,1344,2018-06-01
LS02,917,752,1669,1360,616,1976,2018-06-01
LS03,363,321,684,530,274,804,2018-06-01
LS04,785,805,1590,2222,1488,3710,2018-06-01
LS05,617,710,1327,2357,1801,4158,2018-06-01
LS06,3232,3099,6331,8572,6350,14922,2018-06-01
LS07,3036,3589,6625,8316,6487,14803,2018-06-01
LS08,4502,4961,9463,14686,11375,26061,2018-06-01
LS09,4252,4944,9196,8924,4986,13910,2018-06-01
LS10,2820,3840,6660,10224,7117,17341,2018-06-01
LS11,3651,4207,7858,9096,5179,14275,2018-06-01
LS12,3133,3740,6873,12149,8749,20898,2018-06-01
LS13,2515,3439,5954,10842,8416,19258,2018-06-01
LS14,2654,3548,6202,10345,7995,18340,2018-06-01
LS15,1804,2297,4101,12627,10784,23411,2018-06-01
LS16,1695,2150,3845,13042,12012,25054,2018-06-01
LS17,1755,2421,4176,16915,15772,32687,2018-06-01
LS18,1196,1048,2244,8059,6895,14954,2018-06-01
LS19,799,1041,1840,7385,6835,14220,2018-06-01
LS20,488,557,1045,4835,4593,9428,2018-06-01
LS21,715,870,1585,6918,6452,13370,2018-06-01
LS22,486,552,1038,6377,6185,12562,2018-06-01
LS23,248,292,540,3403,3384,6787,2018-06-01
LS24,390,469,859,4708,4306,9014,2018-06-01
LS25,1524,2111,3635,15452,13844,29296,2018-06-01
LS26,1326,1811,3137,10991,9691,20682,2018-06-01
LS27,1820,2435,4255,12756,10553,23309,2018-06-01
LS28,1679,2391,4070,14233,12793,27026,2018-06-01
LS29,1050,1190,2240,12519,12435,24954,2018-06-01
LS70,0,0,0,1,0,1,2018-06-01
LU01,5606,5166,10772,14371,8843,23214,2018-06-01
LU02,3938,4771,8709,21562,17294,38856,2018-06-01
LU03,4900,6201,11101,21534,15958,37492,2018-06-01
LU04,4841,6152,10993,17546,11727,29273,2018-06-01
LU05,2038,2654,4692,14816,12231,27047,2018-06-01
LU06,1271,1637,2908,13388,11787,25175,2018-06-01
LU07,1976,2432,4408,22995,20880,43875,2018-06-01
M00,20,8,28,34,17,51,2018-06-01
M01,940,679,1619,2510,1230,3740,2018-06-01
M02,16,14,30,59,35,94,2018-06-01
M03,1067,869,1936,3525,1982,5507,2018-06-01
M04,966,753,1719,3302,2036,5338,2018-06-01
M04O,0,0,0,1,0,1,2018-06-01
M05,1735,1781,3516,4488,2825,7313,2018-06-01
M06,3201,3222,6423,9632,6653,16285,2018-06-01
M07,3260,2805,6065,8156,5422,13578,2018-06-01
M08,4678,4248,8926,9837,5410,15247,2018-06-01
M09,3911,4836,8747,10958,7883,18841,2018-06-01
M10,88,74,162,77,27,104,2018-06-01
M11,2442,3042,5484,5516,3514,9030,2018-06-01
M12,2929,2576,5505,4638,2390,7028,2018-06-01
M13,3722,3027,6749,5718,2863,8581,2018-06-01
M14,5919,5091,11010,10361,6236,16597,2018-06-01
M15,2473,2024,4497,5164,2827,7991,2018-06-01
M16,3751,4012,7763,11022,7938,18960,2018-06-01
M17,3,5,8,15,3,18,2018-06-01
M18,2524,3022,5546,5934,3902,9836,2018-06-01
M19,3774,3887,7661,11065,8010,19075,2018-06-01
M20,3301,3564,6865,15543,13342,28885,2018-06-01
M21,2114,2382,4496,9893,8687,18580,2018-06-01
M22,3660,4509,8169,12137,9337,21474,2018-06-01
M23,2392,2961,5353,9264,7627,16891,2018-06-01
M24,3240,3952,7192,15413,12515,27928,2018-06-01
M25,1829,2181,4010,10980,9473,20453,2018-06-01
M26,1963,2488,4451,12008,10275,22283,2018-06-01
M27,2355,2866,5221,13771,11604,25375,2018-06-01
M28,1788,2179,3967,14955,13599,28554,2018-06-01
M29,960,1218,2178,8712,7747,16459,2018-06-01
M30,2680,3169,5849,11871,9134,21005,2018-06-01
M31,722,871,1593,2517,2091,4608,2018-06-01
M32,2056,2488,4544,9446,8057,17503,2018-06-01
M33,2755,3247,6002,22436,20530,42966,2018-06-01
M34,2562,3118,5680,16344,13778,30122,2018-06-01
M35,1237,1521,2758,6932,5726,12658,2018-06-01
M38,1114,1483,2597,3718,2706,6424,2018-06-01
M39,0,1,1,1,0,1,2018-06-01
M40,4145,5059,9204,11680,8258,19938,2018-06-01
M41,1896,2196,4092,15326,14157,29483,2018-06-01
M43,1372,1960,3332,7836,6266,14102,2018-06-01
M44,1075,1443,2518,6785,5640,12425,2018-06-01
M45,1231,1597,2828,7973,7064,15037,2018-06-01
M46,1080,1358,2438,7441,6095,13536,2018-06-01
M47,1,0,1,0,0,0,2018-06-01
M50,266,256,522,1273,751,2024,2018-06-01
M51,0,0,0,1,0,1,2018-06-01
M52,0,0,0,1,0,1,2018-06-01
M54,0,0,0,1,0,1,2018-06-01
M60,41,20,61,63,16,79,2018-06-01
M61,0,1,1,0,0,0,2018-06-01
M70,1,1,2,4,1,5,2018-06-01
M73,0,0,0,1,0,1,2018-06-01
M74,0,0,0,1,0,1,2018-06-01
M87,0,1,1,0,0,0,2018-06-01
M90,1,0,1,1,0,1,2018-06-01
ME01,1748,2160,3908,11009,9351,20360,2018-06-01
ME02,2111,2766,4877,14821,12793,27614,2018-06-01
ME03,1080,1316,2396,11348,10302,21650,2018-06-01
ME04,2715,3012,5727,9883,6980,16863,2018-06-01
ME05,2409,3283,5692,19516,16949,36465,2018-06-01
ME06,471,641,1112,3979,3555,7534,2018-06-01
ME07,3617,4620,8237,16968,13382,30350,2018-06-01
ME08,2069,2590,4659,18887,16784,35671,2018-06-01
ME09,775,901,1676,9061,8286,17347,2018-06-01
ME10,2597,3119,5716,17318,14757,32075,2018-06-01
ME11,266,333,599,1158,900,2058,2018-06-01
ME12,2159,2817,4976,13866,11284,25150,2018-06-01
ME13,1298,1608,2906,10225,9188,19413,2018-06-01
ME14,1437,1616,3053,12375,10623,22998,2018-06-01
ME15,2488,3107,5595,18524,15651,34175,2018-06-01
ME16,1437,1852,3289,11861,10163,22024,2018-06-01
ME17,708,873,1581,10026,9086,19112,2018-06-01
ME18,220,253,473,2967,2793,5760,2018-06-01
ME19,685,867,1552,9129,8831,17960,2018-06-01
ME20,772,948,1720,8137,7584,15721,2018-06-01
ME21,0,0,0,1,0,1,2018-06-01
ME22,0,0,0,1,0,1,2018-06-01
ME24,0,1,1,4,5,9,2018-06-01
ME30,0,0,0,1,0,1,2018-06-01
ME37,0,0,0,0,1,1,2018-06-01
ME38,0,0,0,1,0,1,2018-06-01
ME39,0,0,0,1,0,1,2018-06-01
ME50,0,0,0,1,0,1,2018-06-01
MK00,0,0,0,0,1,1,2018-06-01
MK01,78,60,138,298,178,476,2018-06-01
MK02,1295,1743,3038,5046,3717,8763,2018-06-01
MK03,1331,1766,3097,9095,7984,17079,2018-06-01
MK04,1040,1383,2423,8037,7570,15607,2018-06-01
MK05,835,1027,1862,5686,5234,10920,2018-06-01
MK06,3380,3997,7377,9108,6127,15235,2018-06-01
MK07,771,936,1707,5655,5097,10752,2018-06-01
MK08,686,897,1583,4702,4113,8815,2018-06-01
MK09,478,422,900,1259,683,1942,2018-06-01
MK10,782,1081,1863,6448,5935,12383,2018-06-01
MK11,489,650,1139,3105,2756,5861,2018-06-01
MK12,1093,1341,2434,4856,3640,8496,2018-06-01
MK13,1515,1806,3321,6791,5400,12191,2018-06-01
MK14,1754,2043,3797,7668,5961,13629,2018-06-01
MK15,384,469,853,2888,2657,5545,2018-06-01
MK16,712,879,1591,7350,6806,14156,2018-06-01
MK17,480,571,1051,7696,7486,15182,2018-06-01
MK18,1469,1551,3020,12877,12416,25293,2018-06-01
MK19,363,413,776,4817,4567,9384,2018-06-01
MK20,0,1,1,0,0,0,2018-06-01
MK34,1,0,1,1,0,1,2018-06-01
MK40,2686,2736,5422,11620,8559,20179,2018-06-01
MK41,2182,2599,4781,15553,13925,29478,2018-06-01
MK42,3220,4465,7685,17092,13760,30852,2018-06-01
MK43,1331,1373,2704,14589,13934,28523,2018-06-01
MK44,464,480,944,6791,6529,13320,2018-06-01
MK45,1471,1663,3134,18543,17480,36023,2018-06-01
MK46,267,305,572,3651,3566,7217,2018-06-01
ML01,3146,4061,7207,18314,14943,33257,2018-06-01
ML02,2205,2837,5042,12579,10260,22839,2018-06-01
ML03,2947,3750,6697,17511,14564,32075,2018-06-01
ML04,1471,1978,3449,6873,5501,12374,2018-06-01
ML05,2936,3766,6702,14410,11512,25922,2018-06-01
ML06,2937,3874,6811,18318,15375,33693,2018-06-01
ML07,733,1028,1761,5120,4157,9277,2018-06-01
ML08,678,953,1631,7186,6502,13688,2018-06-01
ML09,1175,1647,2822,8118,6851,14969,2018-06-01
ML10,417,467,884,4164,3946,8110,2018-06-01
ML11,1324,1893,3217,12750,11125,23875,2018-06-01
ML12,242,391,633,3556,3303,6859,2018-06-01
N00,1,0,1,1,1,2,2018-06-01
N01,10708,11710,22418,25459,18276,43735,2018-06-01
N01C,74,87,161,210,133,343,2018-06-01
N01H,0,1,1,0,1,1,2018-06-01
N01N,0,1,1,0,0,0,2018-06-01
N01P,1,0,1,0,0,0,2018-06-01
N01W,0,0,0,0,1,1,2018-06-01
N02,2188,2369,4557,9141,8059,17200,2018-06-01
N02O,0,0,0,0,1,1,2018-06-01
N03,2404,2640,5044,11748,9894,21642,2018-06-01
N04,7335,6969,14304,15479,10632,26111,2018-06-01
N05,2429,2780,5209,7659,6144,13803,2018-06-01
N06,1449,1763,3212,7174,6383,13557,2018-06-01
N07,6029,6331,12360,13215,9046,22261,2018-06-01
N08,4712,4675,9387,13150,10422,23572,2018-06-01
N09,6487,7727,14214,15548,10976,26524,2018-06-01
N10,2421,2828,5249,9468,8300,17768,2018-06-01
N11,2974,3227,6201,10710,8195,18905,2018-06-01
N12,2683,3015,5698,12419,10316,22735,2018-06-01
N13,3222,3299,6521,12254,9373,21627,2018-06-01
N14,2006,2353,4359,12107,10195,22302,2018-06-01
N15,8127,7196,15323,13421,7687,21108,2018-06-01
N16,9179,8436,17615,17814,11771,29585,2018-06-01
N17,11846,11825,23671,18674,11243,29917,2018-06-01
N18,4552,5283,9835,9658,6445,16103,2018-06-01
N19,4327,4900,9227,10032,7714,17746,2018-06-01
N20,1272,1443,2715,7921,7292,15213,2018-06-01
N21,1260,1406,2666,9220,8376,17596,2018-06-01
N22,6282,6081,12363,14457,9467,23924,2018-06-01
N41,0,0,0,0,1,1,2018-06-01
NE01,794,602,1396,1803,749,2552,2018-06-01
NE02,1529,1397,2926,5560,4061,9621,2018-06-01
NE02O,0,0,0,1,0,1,2018-06-01
NE03,2838,3639,6477,17864,15383,33247,2018-06-01
NE04,4844,4247,9091,9154,4788,13942,2018-06-01
NE05,2968,4204,7172,14439,10807,25246,2018-06-01
NE06,4325,4922,9247,11957,8018,19975,2018-06-01
NE07,809,1003,1812,5263,4450,9713,2018-06-01
NE08,3111,3128,6239,8205,4706,12911,2018-06-01
NE09,2220,2855,5075,11315,8836,20151,2018-06-01
NE10,2280,3067,5347,10064,7229,17293,2018-06-01
NE11,938,1257,2195,5230,3971,9201,2018-06-01
NE12,1943,2613,4556,11443,9601,21044,2018-06-01
NE13,563,685,1248,5901,5452,11353,2018-06-01
NE15,2101,2828,4929,10271,7882,18153,2018-06-01
NE16,997,1459,2456,8923,7614,16537,2018-06-01
NE17,274,336,610,1496,1245,2741,2018-06-01
NE18,25,31,56,388,374,762,2018-06-01
NE19,38,75,113,865,839,1704,2018-06-01
NE20,308,350,658,5122,5023,10145,2018-06-01
NE21,925,1277,2202,5771,4502,10273,2018-06-01
NE22,820,1040,1860,6095,5258,11353,2018-06-01
NE23,1814,2672,4486,13541,11371,24912,2018-06-01
NE24,2062,2901,4963,12469,10089,22558,2018-06-01
NE25,1182,1594,2776,11005,10112,21117,2018-06-01
NE26,853,986,1839,7032,6514,13546,2018-06-01
NE27,623,900,1523,4547,3937,8484,2018-06-01
NE28,3019,4106,7125,13468,10274,23742,2018-06-01
NE29,2443,3061,5504,10282,8227,18509,2018-06-01
NE30,926,1070,1996,7883,7248,15131,2018-06-01
NE31,1316,1698,3014,6373,5010,11383,2018-06-01
NE32,1631,2174,3805,7435,5782,13217,2018-06-01
NE33,2269,2148,4417,7921,5566,13487,2018-06-01
NE34,3152,4128,7280,15775,12607,28382,2018-06-01
NE35,355,468,823,2100,1681,3781,2018-06-01
NE36,259,302,561,2505,2331,4836,2018-06-01
NE37,1385,1922,3307,6021,4642,10663,2018-06-01
NE38,1810,2447,4257,11081,9189,20270,2018-06-01
NE39,349,503,852,3096,2684,5780,2018-06-01
NE40,690,958,1648,5317,4586,9903,2018-06-01
NE41,70,63,133,857,818,1675,2018-06-01
NE42,551,832,1383,4294,3858,8152,2018-06-01
NE43,119,137,256,1822,1754,3576,2018-06-01
NE44,24,28,52,435,437,872,2018-06-01
NE45,110,141,251,1457,1418,2875,2018-06-01
NE46,568,745,1313,5660,5304,10964,2018-06-01
NE47,230,294,524,3134,2945,6079,2018-06-01
NE48,102,155,257,1791,1547,3338,2018-06-01
NE49,157,259,416,1601,1276,2877,2018-06-01
NE61,1154,1605,2759,12318,11218,23536,2018-06-01
NE62,404,559,963,3280,2726,6006,2018-06-01
NE63,1644,2244,3888,8710,6782,15492,2018-06-01
NE64,352,504,856,1881,1455,3336,2018-06-01
NE65,651,879,1530,7753,7075,14828,2018-06-01
NE66,541,790,1331,6627,6020,12647,2018-06-01
NE67,21,20,41,368,369,737,2018-06-01
NE68,51,61,112,737,662,1399,2018-06-01
NE69,8,10,18,144,152,296,2018-06-01
NE70,54,84,138,694,671,1365,2018-06-01
NE71,85,119,204,1169,1073,2242,2018-06-01
NE99,5,0,5,7,0,7,2018-06-01
NG01,1029,851,1880,2197,1167,3364,2018-06-01
NG01O,0,0,0,0,1,1,2018-06-01
NG02,3752,4289,8041,18294,15124,33418,2018-06-01
NG03,3744,4764,8508,14648,11213,25861,2018-06-01
NG04,2060,2767,4827,13966,11859,25825,2018-06-01
NG05,5549,7586,13135,27866,23126,50992,2018-06-01
NG06,2856,3995,6851,10572,7971,18543,2018-06-01
NG07,5562,5116,10678,10295,5508,15803,2018-06-01
NG08,4686,6491,11177,18602,14431,33033,2018-06-01
NG09,3986,4625,8611,25145,21271,46416,2018-06-01
NG10,2432,2984,5416,16777,14290,31067,2018-06-01
NG11,2166,2955,5121,12316,10010,22326,2018-06-01
NG12,1162,1519,2681,12878,12198,25076,2018-06-01
NG13,670,814,1484,8475,8076,16551,2018-06-01
NG14,595,716,1311,7481,7006,14487,2018-06-01
NG15,1803,2520,4323,15421,13276,28697,2018-06-01
NG16,2585,3502,6087,23637,20140,43777,2018-06-01
NG17,3525,4520,8045,24932,20698,45630,2018-06-01
NG18,2342,2674,5016,14260,11919,26179,2018-06-01
NG19,2488,3155,5643,18438,15360,33798,2018-06-01
NG20,1496,2032,3528,8831,6837,15668,2018-06-01
NG21,943,1222,2165,8364,7316,15680,2018-06-01
NG22,1114,1386,2500,10437,9189,19626,2018-06-01
NG23,434,469,903,7569,7319,14888,2018-06-01
NG24,2326,2895,5221,16330,13664,29994,2018-06-01
NG25,287,363,650,3339,3314,6653,2018-06-01
NG31,2381,3000,5381,15999,13283,29282,2018-06-01
NG32,387,398,785,5608,5309,10917,2018-06-01
NG33,284,343,627,4134,3835,7969,2018-06-01
NG34,1546,1760,3306,15773,14458,30231,2018-06-01
NG54,0,1,1,0,0,0,2018-06-01
NG66,0,1,1,0,0,0,2018-06-01
NN01,3411,3118,6529,10340,6489,16829,2018-06-01
NN02,2616,2939,5555,13453,10585,24038,2018-06-01
NN03,4860,6099,10959,26972,22223,49195,2018-06-01
NN04,2238,2821,5059,18247,16231,34478,2018-06-01
NN05,2275,2834,5109,14985,12161,27146,2018-06-01
NN06,978,1112,2090,14626,14048,28674,2018-06-01
NN07,818,994,1812,12126,11413,23539,2018-06-01
NN08,3366,4068,7434,17769,14119,31888,2018-06-01
NN09,960,1250,2210,10812,9584,20396,2018-06-01
NN10,1570,2009,3579,15045,13274,28319,2018-06-01
NN11,1761,2292,4053,15094,12990,28084,2018-06-01
NN12,763,856,1619,10085,9386,19471,2018-06-01
NN13,634,764,1398,8084,7542,15626,2018-06-01
NN14,1345,1681,3026,17806,16389,34195,2018-06-01
NN15,1421,1777,3198,14197,12988,27185,2018-06-01
NN16,2120,2479,4599,10273,7730,18003,2018-06-01
NN17,1907,2350,4257,10181,8033,18214,2018-06-01
NN18,2606,3316,5922,12100,9534,21634,2018-06-01
NN28,1,0,1,0,0,0,2018-06-01
NN29,343,413,756,4600,4271,8871,2018-06-01
NO03,0,1,1,1,0,1,2018-06-01
NP00,0,0,0,0,1,1,2018-06-01
NP01,91,101,192,255,183,438,2018-06-01
NP01I,0,0,0,0,1,1,2018-06-01
NP01O,0,0,0,0,1,1,2018-06-01
NP02,34,33,67,150,77,227,2018-06-01
NP02O,0,0,0,1,0,1,2018-06-01
NP03,37,41,78,134,77,211,2018-06-01
NP04,1802,2521,4323,16026,13837,29863,2018-06-01
NP05,14,13,27,53,51,104,2018-06-01
NP06,34,41,75,181,101,282,2018-06-01
NP07,847,1143,1990,10190,9461,19651,2018-06-01
NP08,131,197,328,2182,2109,4291,2018-06-01
NP09,79,46,125,200,88,288,2018-06-01
NP10,899,1126,2025,9076,8445,17521,2018-06-01
NP11,1732,2303,4035,12695,10565,23260,2018-06-01
NP12,1400,1934,3334,11454,9909,21363,2018-06-01
NP13,951,1419,2370,6482,4891,11373,2018-06-01
NP15,135,172,307,3248,3131,6379,2018-06-01
NP16,883,1021,1904,9014,8459,17473,2018-06-01
NP18,580,742,1322,6683,6159,12842,2018-06-01
NP19,3746,4471,8217,16917,13175,30092,2018-06-01
NP20,3408,4212,7620,16475,12954,29429,2018-06-01
NP21,0,0,0,1,0,1,2018-06-01
NP22,1122,1598,2720,7085,5570,12655,2018-06-01
NP23,1581,2195,3776,10925,8704,19629,2018-06-01
NP24,300,415,715,1469,1043,2512,2018-06-01
NP25,518,586,1104,6072,5638,11710,2018-06-01
NP26,781,969,1750,8925,8109,17034,2018-06-01
NP34,0,0,0,0,1,1,2018-06-01
NP41,0,0,0,1,0,1,2018-06-01
NP42,1,0,1,0,0,0,2018-06-01
NP44,2422,3107,5529,16253,13946,30199,2018-06-01
NR00,0,0,0,1,1,2,2018-06-01
NR01,1870,1898,3768,8592,6650,15242,2018-06-01
NR02,1625,1898,3523,7875,6722,14597,2018-06-01
NR03,2512,2807,5319,10498,7880,18378,2018-06-01
NR04,1156,1380,2536,7285,6665,13950,2018-06-01
NR05,1907,2263,4170,8992,7365,16357,2018-06-01
NR06,906,1079,1985,9240,8252,17492,2018-06-01
NR07,1232,1437,2669,12193,11031,23224,2018-06-01
NR08,607,766,1373,8359,7997,16356,2018-06-01
NR09,452,540,992,7181,6893,14074,2018-06-01
NR10,655,782,1437,9213,8680,17893,2018-06-01
NR11,539,641,1180,7270,6894,14164,2018-06-01
NR12,627,723,1350,8493,7929,16422,2018-06-01
NR13,700,834,1534,10907,10414,21321,2018-06-01
NR14,709,729,1438,10066,9646,19712,2018-06-01
NR15,418,529,947,6267,6084,12351,2018-06-01
NR16,323,423,746,5155,4923,10078,2018-06-01
NR17,543,605,1148,6465,5888,12353,2018-06-01
NR18,636,763,1399,6959,6580,13539,2018-06-01
NR19,780,972,1752,7385,6539,13924,2018-06-01
NR20,543,694,1237,7716,7258,14974,2018-06-01
NR21,517,641,1158,6264,5702,11966,2018-06-01
NR22,38,49,87,321,310,631,2018-06-01
NR23,117,149,266,1143,1011,2154,2018-06-01
NR24,117,155,272,1758,1652,3410,2018-06-01
NR25,287,336,623,3273,3100,6373,2018-06-01
NR26,296,379,675,2994,2747,5741,2018-06-01
NR27,479,554,1033,4152,3784,7936,2018-06-01
NR28,622,751,1373,6408,5822,12230,2018-06-01
NR29,636,804,1440,8282,7492,15774,2018-06-01
NR30,2294,2437,4731,9313,6744,16057,2018-06-01
NR31,2582,3081,5663,17276,14456,31732,2018-06-01
NR32,2071,2258,4329,13556,11610,25166,2018-06-01
NR33,1744,2031,3775,14170,12485,26655,2018-06-01
NR34,704,894,1598,8681,7916,16597,2018-06-01
NR35,352,430,782,4323,3931,8254,2018-06-01
NW00,3,1,4,3,1,4,2018-06-01
NW01,7235,7796,15031,16387,10835,27222,2018-06-01
NW01H,0,1,1,0,0,0,2018-06-01
NW02,11262,10011,21273,25669,16576,42245,2018-06-01
NW03,4775,5669,10444,19801,16607,36408,2018-06-01
NW04,3674,3727,7401,13337,10159,23496,2018-06-01
NW05,3432,3942,7374,8323,6599,14922,2018-06-01
NW05O,0,1,1,0,0,0,2018-06-01
NW06,8583,8617,17200,22157,16785,38942,2018-06-01
NW07,1964,2395,4359,10690,9414,20104,2018-06-01
NW08,4014,4768,8782,12523,9524,22047,2018-06-01
NW09,9221,9235,18456,26691,17482,44173,2018-06-01
NW10,17172,15751,32923,30656,19705,50361,2018-06-01
NW11,3630,3441,7071,14086,12063,26149,2018-06-01
NW12,3,1,4,2,2,4,2018-06-01
NW13,0,1,1,3,1,4,2018-06-01
NW14,1,0,1,1,1,2,2018-06-01
NW15,0,0,0,2,0,2,2018-06-01
NW16,5,1,6,3,0,3,2018-06-01
NW17,0,0,0,2,1,3,2018-06-01
NW18,1,0,1,1,1,2,2018-06-01
NW19,0,1,1,1,1,2,2018-06-01
NW20,0,1,1,1,0,1,2018-06-01
NW21,1,0,1,0,0,0,2018-06-01
NW22,1,0,1,2,0,2,2018-06-01
NW24,1,0,1,0,0,0,2018-06-01
NW25,0,0,0,0,2,2,2018-06-01
NW26,1,2,3,0,0,0,2018-06-01
NW28,0,0,0,0,1,1,2018-06-01
NW44,2,0,2,0,0,0,2018-06-01
NW51,1,0,1,0,0,0,2018-06-01
NW70,1,0,1,0,0,0,2018-06-01
NW77,0,1,1,0,0,0,2018-06-01
NW96,0,0,0,1,0,1,2018-06-01
NW99,2,0,2,1,0,1,2018-06-01
OL00,1,0,1,0,0,0,2018-06-01
OL01,1977,2305,4282,5928,4214,10142,2018-06-01
OL01O,1,0,1,0,0,0,2018-06-01
OL02,1960,2506,4466,14676,12703,27379,2018-06-01
OL03,534,534,1068,6073,5851,11924,2018-06-01
OL04,2892,3487,6379,14365,11201,25566,2018-06-01
OL05,532,703,1235,3995,3459,7454,2018-06-01
OL06,2163,2541,4704,9200,6861,16061,2018-06-01
OL07,1123,1523,2646,5385,3949,9334,2018-06-01
OL08,3447,4196,7643,11214,7370,18584,2018-06-01
OL09,2953,3579,6532,12751,9383,22134,2018-06-01
OL10,1851,2273,4124,9218,7631,16849,2018-06-01
OL11,3043,3737,6780,14653,11603,26256,2018-06-01
OL12,2585,3317,5902,15452,12878,28330,2018-06-01
OL13,795,1060,1855,5609,4761,10370,2018-06-01
OL14,822,1093,1915,5282,4652,9934,2018-06-01
OL15,604,718,1322,5541,4940,10481,2018-06-01
OL16,2545,3023,5568,12020,9463,21483,2018-06-01
OX00,1,1,2,0,0,0,2018-06-01
