pcode_district,provisional_licences_male,provisional_licences_female,provisional_total,full_licences_male,full_licences_female,full_total,file_date
B74,900,1076,1976,13035,12304,25339,2019-08-01
B75,1107,1389,2496,9977,9499,19476,2019-08-01
B76,927,899,1826,9174,8044,17218,2019-08-01
B77,2766,3926,6692,20122,17062,37184,2019-08-01
B78,981,1187,2168,9226,8156,17382,2019-08-01
B79,1016,1274,2290,8480,7175,15655,2019-08-01
B80,251,290,541,2838,2596,5434,2019-08-01
B90,1699,1985,3684,18357,17109,35466,2019-08-01
B91,1237,1415,2652,13634,12841,26475,2019-08-01
B92,1713,2026,3739,14053,12325,26378,2019-08-01
B93,525,585,1110,7979,7897,15876,2019-08-01
B94,151,172,323,3304,3155,6459,2019-08-01
B95,189,211,400,2595,2544,5139,2019-08-01
B96,103,137,240,2231,2122,4353,2019-08-01
B97,1321,1650,2971,12284,10828,23112,2019-08-01
B98,2914,3840,6754,17416,14294,31710,2019-08-01
BA00,0,0,0,1,1,2,2019-08-01
BA01,2456,2757,5213,14069,12790,26859,2019-08-01
BA02,4033,4401,8434,23934,21743,45677,2019-08-01
BA03,1397,1460,2857,14010,12926,26936,2019-08-01
BA04,650,767,1417,7245,6615,13860,2019-08-01
BA05,715,747,1462,7139,6918,14057,2019-08-01
BA06,668,647,1315,5203,5107,10310,2019-08-01
BA07,114,148,262,1396,1439,2835,2019-08-01
BA08,136,163,299,1766,1665,3431,2019-08-01
BA09,247,325,572,3200,2968,6168,2019-08-01
BA10,143,180,323,1323,1304,2627,2019-08-01
BA11,1397,1727,3124,12483,11909,24392,2019-08-01
BA12,1177,1449,2626,11375,10392,21767,2019-08-01
BA13,799,944,1743,7785,7246,15031,2019-08-01
BA14,2336,2592,4928,18425,16883,35308,2019-08-01
BA15,492,583,1075,5167,5226,10393,2019-08-01
BA16,595,653,1248,4861,4462,9323,2019-08-01
BA20,486,579,1065,4349,3627,7976,2019-08-01
BA21,1671,2163,3834,12394,10646,23040,2019-08-01
BA22,493,523,1016,7374,6951,14325,2019-08-01
BB00,0,0,0,1,0,1,2019-08-01
BB01,4454,5880,10334,21294,15573,36867,2019-08-01
BB02,3812,4767,8579,19147,14984,34131,2019-08-01
BB03,1904,2411,4315,11597,9767,21364,2019-08-01
BB04,1872,2432,4304,15153,13545,28698,2019-08-01
BB05,3704,4656,8360,20049,16220,36269,2019-08-01
BB06,672,784,1456,5408,4804,10212,2019-08-01
BB07,1109,1205,2314,13256,12574,25830,2019-08-01
BB08,1178,1400,2578,8099,7171,15270,2019-08-01
BB09,2747,3458,6205,14640,10972,25612,2019-08-01
BB10,2197,2732,4929,12748,10167,22915,2019-08-01
BB11,1602,1998,3600,7216,5636,12852,2019-08-01
BB12,1763,2080,3843,12376,10609,22985,2019-08-01
BB18,667,839,1506,6306,5590,11896,2019-08-01
BD00,0,0,0,1,0,1,2019-08-01
BD01,638,421,1059,973,396,1369,2019-08-01
BD02,1894,2463,4357,9592,7742,17334,2019-08-01
BD03,3424,3973,7397,8013,4518,12531,2019-08-01
BD04,2420,3276,5696,8341,6302,14643,2019-08-01
BD05,2936,3435,6371,7261,4095,11356,2019-08-01
BD06,1859,2564,4423,9279,7569,16848,2019-08-01
BD07,3441,3654,7095,9237,5494,14731,2019-08-01
BD08,2851,3442,6293,8040,4692,12732,2019-08-01
BD09,2083,2886,4969,8182,5736,13918,2019-08-01
BD10,1430,1856,3286,8791,7791,16582,2019-08-01
BD11,401,535,936,4080,3797,7877,2019-08-01
BD12,883,1170,2053,5834,4939,10773,2019-08-01
BD13,1159,1416,2575,9509,8637,18146,2019-08-01
BD14,396,578,974,2792,2392,5184,2019-08-01
BD15,875,1207,2082,5387,4524,9911,2019-08-01
BD16,1083,1260,2343,9426,8640,18066,2019-08-01
BD17,714,848,1562,6832,6227,13059,2019-08-01
BD18,1702,2201,3903,8667,7093,15760,2019-08-01
BD19,947,1153,2100,7969,7113,15082,2019-08-01
BD20,1244,1593,2837,13882,12864,26746,2019-08-01
BD21,1890,2552,4442,7229,5072,12301,2019-08-01
BD22,1473,1883,3356,10426,9236,19662,2019-08-01
BD23,1029,1248,2277,11770,10921,22691,2019-08-01
BD24,184,215,399,2103,1943,4046,2019-08-01
BD99,0,0,0,0,1,1,2019-08-01
BH00,0,0,0,0,1,1,2019-08-01
BH01,2057,1927,3984,7146,4702,11848,2019-08-01
BH02,861,717,1578,3313,2189,5502,2019-08-01
BH02O,0,0,0,1,0,1,2019-08-01
BH03,306,332,638,2199,1851,4050,2019-08-01
BH04,482,509,991,3787,3176,6963,2019-08-01
BH05,729,716,1445,3912,3094,7006,2019-08-01
BH06,1018,1123,2141,8609,8369,16978,2019-08-01
BH07,651,699,1350,4289,3929,8218,2019-08-01
BH08,1951,2000,3951,9749,8233,17982,2019-08-01
BH09,1637,1770,3407,10191,9273,19464,2019-08-01
BH10,822,977,1799,7453,6868,14321,2019-08-01
BH11,1060,1299,2359,7158,6421,13579,2019-08-01
BH12,1887,2121,4008,12648,11256,23904,2019-08-01
BH13,151,216,367,3411,3244,6655,2019-08-01
BH14,993,953,1946,9567,8901,18468,2019-08-01
BH15,1647,1770,3417,12508,11199,23707,2019-08-01
BH16,559,770,1329,6097,5834,11931,2019-08-01
BH17,913,1137,2050,8506,8023,16529,2019-08-01
BH18,261,230,491,5075,4885,9960,2019-08-01
BH19,443,570,1013,4388,3978,8366,2019-08-01
BH20,984,822,1806,8627,7518,16145,2019-08-01
BH21,1022,1184,2206,16675,16680,33355,2019-08-01
BH22,632,702,1334,11440,10948,22388,2019-08-01
BH23,1900,1982,3882,21065,20565,41630,2019-08-01
BH24,713,726,1439,9980,9795,19775,2019-08-01
BH25,849,957,1806,9893,9682,19575,2019-08-01
BH31,295,305,600,5388,5426,10814,2019-08-01
BL00,647,779,1426,6559,6317,12876,2019-08-01
BL01,4222,4909,9131,21461,16728,38189,2019-08-01
BL02,2836,3414,6250,15290,13074,28364,2019-08-01
BL03,4858,5822,10680,20731,14591,35322,2019-08-01
BL04,2274,2969,5243,10781,8286,19067,2019-08-01
BL05,1085,1250,2335,10219,9316,19535,2019-08-01
BL06,1327,1531,2858,11432,10450,21882,2019-08-01
BL07,427,500,927,6235,5983,12218,2019-08-01
BL08,1467,1761,3228,13622,12458,26080,2019-08-01
BL09,3336,4083,7419,16568,13248,29816,2019-08-01
BN01,6917,6567,13484,26229,21903,48132,2019-08-01
BN02,7797,8227,16024,27771,22224,49995,2019-08-01
BN03,6079,6213,12292,28013,23905,51918,2019-08-01
BN04,3,2,5,15,10,25,2019-08-01
BN05,199,241,440,3234,3222,6456,2019-08-01
BN06,668,700,1368,7038,7093,14131,2019-08-01
BN07,1233,1509,2742,6958,6775,13733,2019-08-01
BN08,516,584,1100,6441,6383,12824,2019-08-01
BN09,831,1088,1919,4607,3904,8511,2019-08-01
BN10,1027,1202,2229,7077,6239,13316,2019-08-01
BN11,2091,2301,4392,11102,9554,20656,2019-08-01
BN12,837,976,1813,8360,8094,16454,2019-08-01
BN13,1218,1374,2592,10854,10344,21198,2019-08-01
BN14,1475,1651,3126,11311,10742,22053,2019-08-01
BN15,1345,1548,2893,10130,8979,19109,2019-08-01
BN16,901,1008,1909,11191,11230,22421,2019-08-01
BN17,1646,2057,3703,11102,9772,20874,2019-08-01
BN18,554,517,1071,5345,5118,10463,2019-08-01
BN19,0,0,0,2,0,2,2019-08-01
BN20,826,1063,1889,7883,7695,15578,2019-08-01
BN21,1650,1776,3426,8400,7105,15505,2019-08-01
BN22,2021,2506,4527,10933,9756,20689,2019-08-01
BN23,1326,1718,3044,10254,9190,19444,2019-08-01
BN24,290,323,613,3969,3871,7840,2019-08-01
BN25,938,1201,2139,9058,8560,17618,2019-08-01
BN26,445,520,965,4794,4559,9353,2019-08-01
BN27,1171,1345,2516,11401,10936,22337,2019-08-01
BN32,1,0,1,0,0,0,2019-08-01
BN40,0,0,0,1,0,1,2019-08-01
BN41,1519,1725,3244,6799,6292,13091,2019-08-01
BN42,555,669,1224,3697,3276,6973,2019-08-01
BN43,1213,1271,2484,8525,7965,16490,2019-08-01
BN44,319,376,695,4062,4075,8137,2019-08-01
BN45,27,18,45,259,251,510,2019-08-01
BR00,0,0,0,2,0,2,2019-08-01
BR01,4411,5309,9720,20094,17986,38080,2019-08-01
BR02,2536,2829,5365,17724,16549,34273,2019-08-01
BR03,2739,3228,5967,18325,16948,35273,2019-08-01
BR04,972,869,1841,7607,7300,14907,2019-08-01
BR05,2926,3785,6711,15948,14706,30654,2019-08-01
BR06,2126,2454,4580,18052,17251,35303,2019-08-01
BR07,701,866,1567,7171,6931,14102,2019-08-01
BR08,1093,1414,2507,8472,7633,16105,2019-08-01
BS00,0,0,0,1,0,1,2019-08-01
BS01,1077,963,2040,3633,2150,5783,2019-08-01
BS02,1863,1915,3778,4747,3113,7860,2019-08-01
BS03,2486,2802,5288,12892,10780,23672,2019-08-01
BS04,3199,4060,7259,16765,13706,30471,2019-08-01
BS05,5063,5462,10525,17474,13060,30534,2019-08-01
BS06,2125,2173,4298,10722,9644,20366,2019-08-01
BS07,2786,3011,5797,13728,11277,25005,2019-08-01
BS08,1494,1493,2987,8518,7412,15930,2019-08-01
BS09,1314,1344,2658,12150,11407,23557,2019-08-01
BS10,1897,2524,4421,9514,7903,17417,2019-08-01
BS11,1294,1532,2826,6033,4787,10820,2019-08-01
BS12,18,14,32,110,54,164,2019-08-01
BS13,2052,2780,4832,9407,7608,17015,2019-08-01
BS14,1336,1585,2921,10686,9540,20226,2019-08-01
BS15,2109,2452,4561,17798,15732,33530,2019-08-01
BS16,3839,4289,8128,28754,25600,54354,2019-08-01
BS17,16,17,33,99,68,167,2019-08-01
BS18,15,14,29,84,71,155,2019-08-01
BS19,4,7,11,49,43,92,2019-08-01
BS20,961,1189,2150,12635,11874,24509,2019-08-01
BS21,753,989,1742,9122,8730,17852,2019-08-01
BS22,1425,1853,3278,14566,13050,27616,2019-08-01
BS23,2278,2567,4845,11955,9398,21353,2019-08-01
BS24,731,945,1676,8661,8110,16771,2019-08-01
BS25,190,175,365,2660,2520,5180,2019-08-01
BS26,151,152,303,2049,2015,4064,2019-08-01
BS27,210,225,435,2943,2868,5811,2019-08-01
BS28,74,66,140,1470,1421,2891,2019-08-01
BS29,75,96,171,1144,1018,2162,2019-08-01
BS30,895,1079,1974,11626,11065,22691,2019-08-01
BS31,750,926,1676,8290,7715,16005,2019-08-01
BS32,1019,1054,2073,9324,8512,17836,2019-08-01
BS34,1711,1941,3652,12216,10373,22589,2019-08-01
BS35,718,832,1550,9481,8785,18266,2019-08-01
BS36,474,482,956,6575,6305,12880,2019-08-01
BS37,1438,1778,3216,15268,13938,29206,2019-08-01
BS38,0,0,0,1,0,1,2019-08-01
BS39,449,530,979,6652,6247,12899,2019-08-01
BS40,301,327,628,5490,5377,10867,2019-08-01
BS41,180,188,368,2405,2310,4715,2019-08-01
BS45,0,0,0,2,1,3,2019-08-01
BS48,725,863,1588,9310,8980,18290,2019-08-01
BS49,387,427,814,4689,4564,9253,2019-08-01
BS53,0,0,0,1,0,1,2019-08-01
BS57,0,0,0,1,0,1,2019-08-01
BS67,0,0,0,0,1,1,2019-08-01
BS94,0,1,1,0,0,0,2019-08-01
BS99,1,0,1,0,0,0,2019-08-01
CA00,0,0,0,1,1,2,2019-08-01
CA01,1513,1810,3323,7508,6044,13552,2019-08-01
CA02,2015,2788,4803,13005,10649,23654,2019-08-01
CA03,477,598,1075,5226,4731,9957,2019-08-01
CA04,193,258,451,3946,3822,7768,2019-08-01
CA05,186,208,394,2967,2889,5856,2019-08-01
CA06,268,330,598,3831,3361,7192,2019-08-01
CA07,686,915,1601,8795,8030,16825,2019-08-01
CA08,289,419,708,4128,3791,7919,2019-08-01
CA09,65,101,166,854,761,1615,2019-08-01
CA10,332,427,759,5917,5560,11477,2019-08-01
CA11,843,1042,1885,8312,7472,15784,2019-08-01
CA12,326,336,662,3081,2765,5846,2019-08-01
CA13,464,612,1076,6038,5617,11655,2019-08-01
CA14,1563,2177,3740,12541,10442,22983,2019-08-01
CA15,730,971,1701,5628,4675,10303,2019-08-01
